age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,ID
43,technician,single,professional.course,unknown,no,no,telephone,jul,wed,5,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no,97132291
39,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,wed,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,bf172d02
33,self-employed,married,basic.9y,no,yes,no,cellular,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no,868bb299
41,technician,single,university.degree,no,yes,no,cellular,jun,tue,1,999,1,failure,-2.9,92.963,-40.8,1.262,5076.2,no,6a0b115d
29,blue-collar,single,basic.9y,no,no,no,cellular,may,fri,2,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no,16972185
30,technician,married,professional.course,no,yes,yes,cellular,jul,mon,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,420ec4cd
27,unemployed,married,basic.6y,unknown,no,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,261a3c51
30,technician,single,professional.course,no,yes,yes,cellular,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no,b2973992
32,blue-collar,single,high.school,no,yes,yes,cellular,may,tue,2,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no,40d5e1fe
33,management,single,university.degree,no,unknown,unknown,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no,dd8cd8f8
56,blue-collar,married,basic.4y,unknown,no,no,cellular,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,yes,3e0feb5a
37,admin.,divorced,university.degree,no,yes,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,49760617
36,blue-collar,married,basic.9y,no,unknown,unknown,cellular,may,fri,5,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no,0ce0d4ab
32,self-employed,married,university.degree,no,yes,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no,8514b62d
44,admin.,married,university.degree,unknown,yes,yes,cellular,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no,d082e136
40,entrepreneur,married,basic.9y,no,yes,no,telephone,may,thu,6,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,b3bc3dc2
25,admin.,single,university.degree,no,no,yes,cellular,aug,thu,1,999,0,nonexistent,-2.9,92.201,-31.4,0.873,5076.2,no,6f817994
28,blue-collar,married,high.school,no,yes,no,cellular,jul,mon,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no,9b172d45
32,management,single,university.degree,no,yes,no,cellular,apr,fri,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes,f52d8a1f
58,management,married,university.degree,no,no,no,cellular,jul,wed,6,999,1,failure,-2.9,92.469,-33.6,0.903,5076.2,no,54cddb48
52,services,married,high.school,no,no,no,telephone,may,wed,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no,19d4b6cb
36,technician,single,professional.course,no,yes,no,cellular,nov,tue,1,999,1,failure,-0.1,93.2,-42.0,4.153,5195.8,yes,d3c6967a
29,admin.,single,high.school,no,no,no,cellular,aug,fri,1,4,3,success,-2.9,92.201,-31.4,0.881,5076.2,no,3413c6ed
39,unemployed,married,basic.9y,no,yes,no,cellular,nov,wed,1,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,no,3b6a8529
49,admin.,divorced,high.school,no,no,no,cellular,may,mon,3,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,no,54cbf6bf
34,blue-collar,married,basic.9y,unknown,yes,no,telephone,apr,mon,2,5,1,success,-1.8,93.075,-47.1,1.466,5099.1,yes,3152ab9a
38,admin.,married,high.school,no,yes,yes,cellular,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,938c13b2
36,technician,divorced,professional.course,no,yes,no,cellular,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no,89f27dc7
52,blue-collar,married,basic.4y,no,yes,no,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no,fc51c2f4
37,technician,single,professional.course,no,no,yes,cellular,may,fri,6,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no,dab95b12
37,management,married,high.school,no,yes,no,cellular,aug,thu,1,999,0,nonexistent,-1.7,94.027,-38.3,0.904,4991.6,yes,f79ce6ec
29,services,married,basic.9y,no,no,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no,4fc72d8c
33,unemployed,married,basic.9y,no,yes,yes,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,3914fe86
34,services,divorced,basic.9y,no,no,no,cellular,jul,fri,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no,61718f15
38,admin.,married,university.degree,no,yes,no,cellular,jul,tue,30,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no,fca14874
31,technician,single,professional.course,no,yes,no,telephone,oct,tue,1,999,1,failure,-1.1,94.601,-49.5,0.982,4963.6,no,6c8bf126
34,technician,married,professional.course,no,yes,no,cellular,may,thu,1,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,no,543dea2b
55,retired,married,high.school,no,yes,no,cellular,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no,4066ca7f
58,retired,married,basic.9y,no,yes,no,telephone,jun,mon,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no,c4c3fad0
29,admin.,married,basic.9y,no,yes,no,telephone,may,tue,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,4e80c308
40,technician,married,professional.course,unknown,yes,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,294fa4d0
41,admin.,married,basic.9y,unknown,yes,no,telephone,jun,thu,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,c1dec74c
46,unemployed,single,university.degree,no,no,no,cellular,mar,tue,1,10,2,success,-1.8,93.369,-34.8,0.646,5008.7,yes,c3b367db
31,housemaid,divorced,high.school,no,no,no,telephone,jun,thu,1,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no,fc54aaf7
58,management,married,unknown,no,no,no,cellular,nov,thu,2,999,1,failure,-0.1,93.2,-42.0,4.076,5195.8,no,9822d734
53,blue-collar,married,basic.6y,no,yes,yes,cellular,apr,mon,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no,cca4134f
41,self-employed,married,basic.9y,no,no,no,cellular,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no,cab5156b
31,technician,divorced,professional.course,no,yes,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes,cc7fb595
49,admin.,married,unknown,no,yes,no,telephone,nov,fri,9,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no,ebafce0a
33,admin.,single,professional.course,no,yes,no,cellular,may,mon,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,yes,e187287c
39,admin.,divorced,high.school,no,yes,no,cellular,jul,tue,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,yes,375428c1
37,admin.,married,high.school,no,yes,no,cellular,apr,fri,2,999,1,failure,-1.8,93.075,-47.1,1.479,5099.1,no,866f998c
36,technician,single,professional.course,no,yes,no,cellular,nov,thu,3,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no,4b124e14
43,blue-collar,married,basic.6y,no,no,no,cellular,apr,fri,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no,1a9f32d1
27,blue-collar,married,basic.4y,no,yes,no,cellular,jul,wed,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,daf32660
44,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no,86a24cb7
39,entrepreneur,married,basic.6y,no,yes,no,cellular,sep,tue,2,999,0,nonexistent,-3.4,92.379,-29.8,0.819,5017.5,yes,7ea52103
27,technician,single,professional.course,no,no,no,cellular,jun,tue,2,3,3,success,-1.7,94.055,-39.8,0.737,4991.6,no,b8da391d
44,housemaid,married,basic.4y,unknown,no,no,telephone,jun,thu,2,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no,af94770d
26,services,single,high.school,no,yes,no,cellular,may,mon,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no,c4f52942
26,services,single,high.school,no,yes,no,cellular,jul,wed,8,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no,56ffaf53
42,admin.,divorced,high.school,no,yes,no,cellular,may,thu,1,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,no,d6f45bb1
29,technician,married,university.degree,no,no,no,cellular,jul,thu,7,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no,d68655a1
30,technician,divorced,high.school,no,no,no,cellular,aug,thu,4,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,72f1e9fe
53,technician,married,professional.course,no,no,no,telephone,jun,thu,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,a02dae54
31,admin.,married,university.degree,no,yes,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no,04ba1b51
41,technician,married,university.degree,no,yes,no,cellular,aug,tue,3,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no,704e0cde
53,self-employed,married,university.degree,no,no,yes,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2d0e7275
39,technician,married,professional.course,no,yes,no,cellular,aug,thu,3,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no,f233bd35
33,management,married,high.school,no,yes,no,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,3bc372bd
31,blue-collar,married,basic.4y,no,yes,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,b37a5f15
33,technician,single,professional.course,no,yes,yes,telephone,may,wed,6,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no,1c68e27a
